user_input,reference_contexts,reference,synthesizer_name
What happened to king Alfred when he was hiding?,"[""Legend of burnt cake\nHaving fled to the Somerset Levels, Alfred was purportedly given shelter by a peasant woman who, unaware of his identity, asked him to mind some wheaten cakes she left baking by the fire. Preoccupied with the problems of his kingdom, Alfred accidentally let the cakes burn, and was roundly scolded by the woman upon her return. The first written account of the legend appears a century after Alfred's death, though it may have earlier origins in folklore.""]","Having fled to the Somerset Levels, Alfred was purportedly given shelter by a peasant woman who, unaware of his identity, asked him to mind some wheaten cakes she left baking by the fire. Preoccupied with the problems of his kingdom, Alfred accidentally let the cakes burn, and was roundly scolded by the woman upon her return.",single_hop_specifc_query_synthesizer
What is Whitsuntide and when does it occur?,"['Counter-attack and victory\nIn the seventh week after Easter (4–10 May 878), around Whitsuntide, Alfred rode to Egbert\'s Stone east of Selwood where he was met by ""all the people of Somerset and of Wiltshire and of that part of Hampshire which is on this side of the sea (that is, west of Southampton Water), and they rejoiced to see him"". Alfred\'s emergence from his marshland stronghold was part of a carefully planned offensive that entailed raising the fyrds of three shires. This meant not only that the king had retained the loyalty of ealdormen, royal reeves and king\'s thegns, who were charged with levying and leading these forces, but that they had maintained their positions of authority in these localities well enough to answer his summons to war. Alfred\'s actions also suggest a system of scouts and messengers.\nAlfred won a decisive victory in the ensuing Battle of Edington which may have been fought near Westbury, Wiltshire. He then pursued the Danes to their stronghold at Chippenham and starved them into submission. One of the terms of the surrender was that Guthrum convert to Christianity. Three weeks later, the Danish king and 29 of his chief men were baptised at Alfred\'s court at Aller, near Athelney, with Alfred receiving Guthrum as his spiritual son.\nThe unbinding of the chrisom on the eighth day took place at a royal estate called Wedmore.']","Whitsuntide is celebrated in the seventh week after Easter, around 4–10 May 878 according to the provided context.",single_hop_specifc_query_synthesizer
Where did the Viking army go after leaving Chippenham according to the context?,"[""The unbinding of the chrisom on the eighth day took place at a royal estate called Wedmore.\nAt Wedmore, Alfred and Guthrum negotiated what some historians have called the Treaty of Wedmore, but it was to be some years after the cessation of hostilities that a formal treaty was signed. Under the terms of the so-called Treaty of Wedmore, the converted Guthrum was required to leave Wessex and return to East Anglia. Consequently, in 879 the Viking army left Chippenham and made its way to Cirencester. The formal Treaty of Alfred and Guthrum, preserved in Old English in Corpus Christi College, Cambridge (Manuscript 383), and in a Latin compilation known as Quadripartitus, was negotiated later, perhaps in 879 or 880, when King Ceolwulf II of Mercia was deposed.\nThat treaty divided up the kingdom of Mercia. By its terms, the boundary between Alfred's and Guthrum's kingdoms was to run up the River Thames to the River Lea, follow the Lea to its source (near Luton), from there extend in a straight line to Bedford, and from Bedford follow the River Ouse to Watling Street.\nAlfred succeeded to Ceolwulf's kingdom consisting of western Mercia, and Guthrum incorporated the eastern part of Mercia into an enlarged Kingdom of East Anglia (henceforward known as the Danelaw). By terms of the treaty, moreover, Alfred was to have control over the Mercian city of London and its mints—at least for the time being. In 825, the Anglo-Saxon Chronicle had recorded that the people of Essex, Sussex, Kent and Surrey surrendered to Egbert, Alfred's grandfather. From then until the arrival of the Great Heathen Army, Essex had formed part of Wessex. After the foundation of Danelaw, it appears that some of Essex would have been ceded to the Danes, but how much is not clear.""]",The Viking army left Chippenham and made its way to Cirencester.,single_hop_specifc_query_synthesizer
Who was Guthrum in the context of medieval British politics and warfare?,"[""880s\nWith the signing of the Treaty of Alfred and Guthrum, an event most commonly held to have taken place around 880 when Guthrum's people began settling East Anglia, Guthrum was neutralised as a threat. The Viking army, which had stayed at Fulham during the winter of 878–879, sailed for Ghent and was active on the continent from 879 to 892.\nThere were local raids on the coast of Wessex throughout the 880s. In 882, Alfred fought a small sea battle against four Danish ships. Two of the ships were destroyed, and the others surrendered. This was one of four sea battles recorded in the Anglo-Saxon Chronicle, three of which involved Alfred. Similar small skirmishes with independent Viking raiders would have occurred for much of the period as they had for decades.\nIn 883, Pope Marinus exempted the Saxon quarter in Rome from taxation, probably in return for Alfred's promise to send alms annually to Rome, which may be the origin of the medieval tax called Peter's Pence. The pope sent gifts to Alfred, including what was reputed to be a piece of the True Cross.\nAfter the signing of the treaty with Guthrum, Alfred was spared any large-scale conflicts for some time. Despite this relative peace, the king was forced to deal with a number of Danish raids and incursions. Among these was a raid in Kent, an allied kingdom in South East England, during the year 885, which was possibly the largest raid since the battles with Guthrum. Asser's account of the raid places the Danish raiders at the Saxon city of Rochester, where they built a temporary fortress in order to besiege the city. In response to this incursion, Alfred led an Anglo-Saxon force against the Danes who, instead of engaging the army of Wessex, fled to their beached ships and sailed to another part of Britain. The retreating Danish force supposedly left Britain the following summer.""]","Guthrum was a Viking leader whose people began settling East Anglia around 880 after the signing of the Treaty of Alfred and Guthrum. He was neutralized as a threat following this treaty, but his people continued to raid coastal areas of Wessex.",single_hop_specifc_query_synthesizer
What happened after the Anglo-Saxon fleet left the River Stour?,"['Not long after the failed Danish raid in Kent, Alfred dispatched his fleet to East Anglia. The purpose of this expedition is debated, but Asser claims that it was for the sake of plunder. After travelling up the River Stour, the fleet was met by Danish vessels that numbered 13 or 16 (sources vary on the number), and a battle ensued. The Anglo-Saxon fleet emerged victorious, and as Henry of Huntingdon writes, ""laden with spoils"". The victorious fleet was surprised when attempting to leave the River Stour and was attacked by a Danish force at the mouth of the river. The Danish fleet defeated Alfred\'s fleet, which may have been weakened in the previous engagement.']","The victorious Anglo-Saxon fleet was surprised when attempting to leave the River Stour and was attacked by a Danish force at the mouth of the river. The Danish fleet defeated Alfred's fleet, which may have been weakened in the previous engagement.",single_hop_specifc_query_synthesizer
"Where did Guthrum, Alfred's former enemy and king of East Anglia, die and where was he buried?","['King of the Anglo-Saxons\nA year later, in 886, Alfred reoccupied the city of London and set out to make it habitable again. Alfred entrusted the city to the care of his son-in-law Æthelred, ealdorman of Mercia. Soon afterwards, Alfred restyled himself as ""King of the Anglo-Saxons"". The restoration of London progressed through the latter half of the 880s and is believed to have revolved around a new street plan; added fortifications in addition to the existing Roman walls; and, some believe, the construction of matching fortifications on the south bank of the River Thames.\nThis is also the period in which almost all chroniclers agree that the Saxon people of pre-unification England submitted to Alfred. In 888, Æthelred, the archbishop of Canterbury, also died. One year later Guthrum, or Athelstan by his baptismal name, Alfred\'s former enemy and king of East Anglia, died and was buried in Hadleigh, Suffolk. Guthrum\'s death changed the political landscape for Alfred. The resulting power vacuum stirred other power-hungry warlords eager to take his place in the following years.']","Guthrum, Alfred's former enemy and king of East Anglia, died and was buried in Hadleigh, Suffolk.",single_hop_specifc_query_synthesizer
"What happened to the Danish forces that took refuge on an island at Thorney, on the River Colne between Buckinghamshire and Middlesex during the Viking attacks in the 890s?","[""Viking attacks (890s)\nAfter another lull, in the autumn of 892 or 893, the Danes attacked again. Finding their position in mainland Europe precarious, they crossed to England in 330 ships in two divisions. They entrenched themselves, the larger body at Appledore, Kent, and the lesser under Hastein, at Milton, also in Kent. The invaders brought their wives and children with them, indicating a meaningful attempt at conquest and colonisation. Alfred, in 893 or 894, took up a position from which he could observe both forces.\nWhile he was in talks with Hastein, the Danes at Appledore broke out and struck north-westwards. They were overtaken by Alfred's eldest son Edward, and were defeated at the Battle of Farnham in Surrey. They took refuge on an island at Thorney, on the River Colne between Buckinghamshire and Middlesex, where they were blockaded and forced to give hostages and promise to leave Wessex. They then went to Essex and after suffering another defeat at Benfleet, joined with Hastein's force at Shoebury.\nAlfred had been on his way to relieve his son at Thorney when he heard that the Northumbrian and East Anglian Danes were besieging Exeter and an unnamed stronghold on the North Devon shore. Alfred at once hurried westward and raised the Siege of Exeter. The fate of the other place is not recorded.""]","The Danish forces that took refuge on an island at Thorney, on the River Colne between Buckinghamshire and Middlesex were blockaded by Alfred's forces and forced to give hostages and promise to leave Wessex.",single_hop_specifc_query_synthesizer
WHY DID ALFRED'S CODE INCLUDE INJURY TARIFFS AND WHAT WAS THE ROLE OF CHRIST'S COMMANDMENT IN THIS CONTEXT?,"['<1-hop>\n\nSimilarly Alfred divided his code into 120 chapters because 120 was the age at which Moses died and, in the number-symbolism of early medieval biblical exegetes, 120 stood for law. The link between Mosaic law and Alfred\'s code is the Apostolic Letter which explained that Christ ""had come not to shatter or annul the commandments but to fulfill them; and he taught mercy and meekness"" (Intro, 49.1). The mercy that Christ infused into Mosaic law underlies the injury tariffs that figure so prominently in barbarian law codes since Christian synods ""established, through that mercy which Christ taught, that for almost every misdeed at the first offence secular lords might with their permission receive without sin the monetary compensation which they then fixed"".\nThe only crime that could not be compensated with a payment of money was treachery to a lord ""since Almighty God adjudged none for those who despised Him, nor did Christ, the Son of God, adjudge any for the one who betrayed Him to death; and He commanded everyone to love his lord as Himself"". Alfred\'s transformation of Christ\'s commandment, from ""Love your neighbour as yourself"" (Matt. 22:39–40) to love your secular lord as you would love the Lord Christ himself, underscores the importance that Alfred placed upon lordship which he understood as a sacred bond instituted by God for the governance of man.', ""<2-hop>\n\nEnglish resistance\nIn 1068 Edwin and Morcar rose in revolt, supported by Gospatric, Earl of Northumbria. Orderic Vitalis states that Edwin's reason for revolting was that the proposed marriage between himself and one of William's daughters had not taken place, but another reason probably included the increasing power of fitzOsbern in Herefordshire, which affected Edwin's power within his own earldom. The king marched through Edwin's lands and built Warwick Castle. Edwin and Morcar submitted, but William continued on to York, building York and Nottingham Castles before returning south. On his southbound journey, he began constructing Lincoln, Huntingdon, and Cambridge Castles. William placed supporters in charge of these new fortifications\xa0– among them William Peverel at Nottingham and Henry de Beaumont at Warwick\xa0– then returned to Normandy late in 1068.""]","ALFRED'S CODE INCLUDED INJURY TARIFFS BECAUSE CHRIST'S COMMANDMENT TO LOVE YOUR NEIGHBOR AS YOURSELF WAS TRANSFORMED BY ALFRED INTO A DUTY TO LOVE YOUR SECULAR LORD AS YOU WOULD LOVE THE LORD CHRIST HIMSELF. THIS UNDERSCORED THE IMPORTANCE OF LORDSHIP AND SACRED BOND INSTITUED BY GOD FOR THE GOVERNANCE OF MAN, WHEREIN INJURY TARIFFS SERVED AS MEANS TO COMPENSATE FOR MISDEEDS AGAINST SECULAR LORDS.",multi_hop_abstract_query_synthesizer
"How did Alfred's grandfather Ecgberht contribute to the resistance against Viking invasions in Wessex, and what was the significance of his lineage for future West Saxon kings?","[""<1-hop>\n\nBackground\nAlfred's grandfather, Ecgberht, became king of Wessex in 802, and in the view of the historian Richard Abels, it must have seemed very unlikely to contemporaries that he would establish a lasting dynasty. For 200 years, three families had fought for the West Saxon throne, and no son had followed his father as king. No ancestor of Ecgberht had been a king of Wessex since Ceawlin in the late sixth century, but he was believed to be a paternal descendant of Cerdic, the founder of the West Saxon dynasty. This made Ecgberht an ætheling – a prince eligible for the throne. But after Ecgberht's reign, descent from Cerdic was no longer sufficient to make a man an ætheling. When Ecgberht died in 839, he was succeeded by his son Æthelwulf; all subsequent West Saxon kings were descendants of Ecgberht and Æthelwulf, and were also sons of kings.\nAt the beginning of the ninth century, England was almost wholly under the control of the Anglo-Saxons. Mercia dominated southern England, but its supremacy came to an end in 825 when it was decisively defeated by Ecgberht at the Battle of Ellendun. Mercia and Wessex became allies, which was important in the resistance to Viking attacks. In 853, King Burgred of Mercia requested West Saxon help to suppress a Welsh rebellion, and Æthelwulf led a West Saxon contingent in a successful joint campaign. In the same year Burgred married Æthelwulf's daughter, Æthelswith."", '<2-hop>\n\nWilliam the Conqueror (c.\u20091028\xa0– 9 September 1087), sometimes called William the Bastard, was the first Norman king of England (as William I), reigning from 1066 until his death. A descendant of Rollo, he was Duke of Normandy (as William II) from 1035 onward. By 1060, following a long struggle, his hold on Normandy was secure. In 1066, following the death of Edward the Confessor, William invaded England, leading a Franco-Norman army to victory over the Anglo-Saxon forces of Harold Godwinson at the Battle of Hastings, and suppressed subsequent English revolts in what has become known as the Norman Conquest. The rest of his life was marked by struggles to consolidate his hold over England and his continental lands, and by difficulties with his eldest son, Robert Curthose.\nWilliam was the son of the unmarried Duke Robert I of Normandy and his mistress Herleva. His illegitimate status and youth caused some difficulties for him after he succeeded his father, as did the anarchy which plagued the first years of his rule. During his childhood and adolescence, members of the Norman aristocracy battled each other, both for control of the child duke, and for their own ends. In 1047, William quashed a rebellion and began to establish his authority over the duchy, a process that was not complete until about 1060. His marriage in the 1050s to Matilda of Flanders provided him with a powerful ally in the neighbouring county of Flanders. By the time of his marriage, William was able to arrange the appointment of his supporters as bishops and abbots in the Norman church. His consolidation of power allowed him to expand his horizons, and he secured control of the neighbouring county of Maine by 1062.']","Alfred's grandfather, Ecgberht, contributed to the resistance against Viking invasions by establishing a lasting dynasty as king of Wessex. His lineage from Cerdic, the founder of the West Saxon dynasty, made him an ætheling – a prince eligible for the throne. This significance was crucial because all subsequent West Saxon kings were descendants of Ecgberht and Æthelwulf, and they were also sons of kings. The alliance between Mercia and Wessex under Ecgberht's rule was important in resisting Viking attacks.",multi_hop_abstract_query_synthesizer
How did Alfred's family background influence his approach to defending Wessex against Viking raids?,"['<1-hop>\n\nThe means by which the Anglo-Saxons marshalled forces to defend against marauders also left them vulnerable to the Vikings. It was the responsibility of the shire fyrd to deal with local raids. The king could call up the national militia to defend the kingdom but in the case of the Viking raids, problems with communication and raising supplies meant that the national militia could not be mustered quickly enough. It was only after the raids had begun that a call went out to landowners to gather their men for battle. Large regions could be devastated before the fyrd could assemble and arrive. Although the landowners were obliged to the king to supply these men when called, during the attacks in 878 many of them abandoned their king and collaborated with Guthrum.\nWith these lessons in mind Alfred capitalised on the relatively peaceful years following his victory at Edington with an ambitious restructuring of Saxon defences. On a trip to Rome Alfred had stayed with Charles the Bald, and it is possible that he may have studied how the Carolingian kings had dealt with Viking raiders. Learning from their experiences he was able to establish a system of taxation and defence for Wessex. There had been a system of fortifications in pre-Viking Mercia that may have been an influence. When the Viking raids resumed in 892 Alfred was better prepared to confront them with a standing, mobile field army, a network of garrisons and a small fleet of ships navigating the rivers and estuaries.', ""<2-hop>\n\nFamily\nIn 868, Alfred married Ealhswith, daughter of a Mercian nobleman, Æthelred Mucel, Ealdorman of the Gaini. The Gaini were probably one of the tribal groups of the Mercians. Ealhswith's mother, Eadburh, was a member of the Mercian royal family.\nThey had five or six children together, including Edward the Elder who succeeded his father as king; Æthelflæd who became lady of the Mercians; and Ælfthryth who married Baldwin II, Count of Flanders. Alfred's mother was Osburga, daughter of Oslac of the Isle of Wight, Chief Butler of England. Asser, in his Vita Ælfredi asserts that this shows his lineage from the Jutes of the Isle of Wight.\nOsferth was described as a relative in King Alfred's will and he attested charters in a high position until 934. A charter of King Edward's reign described him as the king's brother – mistakenly according to Keynes and Lapidge, but in the view of Janet Nelson, he probably was an illegitimate son of King Alfred.""]","Alfred's family background influenced his approach to defending Wessex against Viking raids in several ways. He married Ealhswith, a daughter of a Mercian nobleman and member of the Mercian royal family, which likely provided him with valuable political alliances and insights into regional defense strategies. Additionally, Alfred’s mother was Osburga, from the Jutes of the Isle of Wight, suggesting lineage that could have influenced his understanding of local defenses. These familial connections and experiences contributed to his ability to establish a more effective system of taxation, a standing mobile field army, garrisons, and a naval fleet to combat Viking raids.",multi_hop_abstract_query_synthesizer
"What happened during the battle described, and how does it relate to the historical figure of Boudica?","[""<1-hop>\n\nThe battle began at about 9\xa0am on 14 October and lasted all day. While a broad outline is known, the exact events are obscured by contradictory accounts. Although the numbers on each side were about equal, William had both cavalry and infantry, including many archers, while Harold had only foot soldiers and few, if any, archers. The English soldiers formed up as a shield wall along the ridge and were at first so effective that William's army was thrown back with heavy casualties. Some of William's Breton troops panicked and fled, and some of the English troops appear to have pursued the fleeing Bretons until they themselves were attacked and destroyed by Norman cavalry. During the Bretons' flight, rumours swept through the Norman forces that the duke had been killed, but William succeeded in rallying his troops. Two further Norman retreats were feigned, to draw the English into pursuit and expose them to repeated attacks by the Norman cavalry. The available sources are more confused about events in the afternoon, but it appears that the decisive event was Harold's death, about which differing stories are told. William of Jumièges claimed that Harold was killed by the duke. The Bayeux Tapestry has been claimed to show Harold's death by an arrow to the eye, but that may be a later reworking of the tapestry to conform to 12th-century stories in which Harold was slain by an arrow wound to the head."", '<2-hop>\n\n20th century – present\nBoudica was once thought to have been buried at a place which lies now between platforms 9 and 10 in King\'s Cross station in London. There is no evidence for this and it is probably a post-World War II invention. At Colchester Town Hall, a life-sized statue of Boudica stands on the south facade, sculpted by L J Watts in 1902; another depiction of her is in a stained glass window by Clayton and Bell in the council chamber.\nBoudica was adopted by the suffragettes as one of the symbols of the campaign for women\'s suffrage. In 1908, a ""Boadicea Banner"" was carried in several National Union of Women\'s Suffrage Societies marches. She appears as a character in A Pageant of Great Women written by Cicely Hamilton, which opened at the Scala Theatre, London, in November 1909 before a national tour, and she was described in a 1909 pamphlet as ""the eternal feminine... the guardian of the hearth, the avenger of its wrongs upon the defacer and the despoiler"".\nA ""vocal minority"" has claimed Boudica as a Celtic Welsh heroine. A statue of Boudica in the Marble Hall at Cardiff City Hall was among those unveiled by David Lloyd George in 1916, though the choice had gained little support in a public vote. It shows her with her daughters and without warrior trappings.\nPermanent exhibitions describing the Boudican Revolt are at the Museum of London, Colchester Castle Museum and the Verulamium Museum in St Albans. A 36-mile (58\xa0km) long distance footpath called Boudica\'s Way passes through countryside between Norwich and Diss in Norfolk.']","The battle described involved William's army facing Harold's forces. Initially, the English soldiers formed a shield wall along the ridge and were highly effective against the Normans, causing heavy casualties. However, rumors of William’s death led to a Norman retreat feigned as real, drawing the English into pursuit where they faced repeated attacks by Norman cavalry. This battle is related to Boudica in that she was adopted by the suffragettes as a symbol for women's rights and appears in various historical contexts such as statues and exhibitions commemorating her revolt against Roman rule.",multi_hop_abstract_query_synthesizer
"What was the response of Anglo-Saxon England to the Viking attacks in the 890s, particularly focusing on the obligations of tenants and their military service?","['<1-hop>\n\nAdministration and taxation\nTenants in Anglo-Saxon England had a threefold obligation based on their landholding: the so-called ""common burdens"" of military service, fortress work, and bridge repair. This threefold obligation has traditionally been called trinoda necessitas or trimoda necessitas. The Old English name for the fine due for neglecting military service was fierdwite. To maintain the burhs, and to reorganise the fyrd as a standing army, Alfred expanded the tax and conscription system based on the productivity of a tenant\'s landholding. The hide was the basic unit of the system on which the tenant\'s public obligations were assessed. A hide is thought to represent the amount of land required to support one family. The hide differed in size according to the value and resources of the land and the landowner would have to provide service based on how many hides he owned.', ""<2-hop>\n\nViking attacks (890s)\nAfter another lull, in the autumn of 892 or 893, the Danes attacked again. Finding their position in mainland Europe precarious, they crossed to England in 330 ships in two divisions. They entrenched themselves, the larger body at Appledore, Kent, and the lesser under Hastein, at Milton, also in Kent. The invaders brought their wives and children with them, indicating a meaningful attempt at conquest and colonisation. Alfred, in 893 or 894, took up a position from which he could observe both forces.\nWhile he was in talks with Hastein, the Danes at Appledore broke out and struck north-westwards. They were overtaken by Alfred's eldest son Edward, and were defeated at the Battle of Farnham in Surrey. They took refuge on an island at Thorney, on the River Colne between Buckinghamshire and Middlesex, where they were blockaded and forced to give hostages and promise to leave Wessex. They then went to Essex and after suffering another defeat at Benfleet, joined with Hastein's force at Shoebury.\nAlfred had been on his way to relieve his son at Thorney when he heard that the Northumbrian and East Anglian Danes were besieging Exeter and an unnamed stronghold on the North Devon shore. Alfred at once hurried westward and raised the Siege of Exeter. The fate of the other place is not recorded.""]","The response of Anglo-Saxon England to the Viking attacks in the 890s included the expansion of the tax and conscription system based on the productivity of a tenant's landholding. Tenants had a threefold obligation known as trinoda necessitas, which included military service. When facing the Danish invasion led by Hastein in 892 or 893, Alfred took action to observe both forces and engaged in talks with Hastein. During this time, the Danes at Appledore were defeated by Alfred's son Edward at the Battle of Farnham. The Danes then sought refuge on an island at Thorney, where they were blockaded and forced to give hostages and promise to leave Wessex.",multi_hop_abstract_query_synthesizer
